"date","geography","geography code","Year of arrival in the UK: Total: All usual residents; measures: Value","Year of arrival in the UK: Born in the UK; measures: Value","Year of arrival in the UK: Arrived before 1951; measures: Value","Year of arrival in the UK: Arrived 1951 to 1960; measures: Value","Year of arrival in the UK: Arrived 1961 to 1970; measures: Value","Year of arrival in the UK: Arrived 1971 to 1980; measures: Value","Year of arrival in the UK: Arrived 1981 to 1990; measures: Value","Year of arrival in the UK: Arrived 1991 to 2000; measures: Value","Year of arrival in the UK: Arrived 2001 to 2010; measures: Value","Year of arrival in the UK: Arrived 2011 to 2013; measures: Value","Year of arrival in the UK: Arrived 2014 to 2016; measures: Value","Year of arrival in the UK: Arrived 2017 to 2019; measures: Value","Year of arrival in the UK: Arrived 2020 to 2021; measures: Value"
"2021","Havering","E09000016",262052,211166,311,1189,2478,2452,3006,6347,16522,4714,6271,5487,2109
"2021","Hillingdon","E09000017",305910,188260,392,1728,6344,7603,6842,15116,34753,9655,13071,15524,6622
"2021","Hounslow","E09000018",288181,145556,345,1482,7612,8453,7524,16733,38829,12554,18170,22289,8634
"2021","Islington","E09000019",216589,130213,289,1745,3352,3523,6017,13209,17474,6883,10789,15182,7913
"2021","Kensington and Chelsea","E09000020",143375,66063,458,1102,2713,4380,5954,11646,14554,6374,8938,13533,7660
"2021","Kingston upon Thames","E09000021",168063,111412,291,882,2475,3205,3725,7640,16123,4728,6605,7458,3519
"2021","Lambeth","E09000022",317654,195091,360,2550,6389,5497,9657,20731,28593,10226,13959,16938,7663
"2021","Lewisham","E09000023",300553,193483,284,2381,5815,4525,7271,16951,30057,10017,12477,12337,4955
"2021","Merton","E09000024",215188,127245,374,1491,4364,4639,5682,11786,25492,8165,10653,11239,4058
"2021","Newham","E09000025",351036,162447,110,1313,5844,8712,12632,23467,47701,17344,26804,30580,14082
"2021","Redbridge","E09000026",310262,174963,263,1848,8982,11529,10481,16119,33398,11143,16038,18288,7210
"2021","Richmond upon Thames","E09000027",195278,139053,549,1213,2828,3408,3832,7812,13650,4753,6718,8043,3419
"2021","Southwark","E09000028",307637,182392,225,1894,4168,4488,10183,19745,30383,10764,15183,18647,9565
"2021","Sutton","E09000029",209642,151447,320,1165,2880,3162,3734,7816,19975,5389,5952,5646,2156
"2021","Tower Hamlets","E09000030",310306,165081,122,885,2423,5644,13544,16220,30475,12987,19940,27784,15201
"2021","Waltham Forest","E09000031",278423,171070,212,1952,6206,5603,6994,15600,29230,9966,14110,12938,4542
"2021","Wandsworth","E09000032",327505,203322,528,2190,5611,5582,6751,15554,31139,12412,16836,19714,7866
"2021","Westminster","E09000033",204235,90702,421,1488,3330,5151,7724,17211,21357,8203,13813,21412,13423
"2021","Medway","E06000035",279773,241119,378,1086,2517,2167,2215,4104,12324,3410,4175,4219,2059
"2021","Bracknell Forest","E06000036",124607,102964,174,465,1002,982,1038,2614,6905,1855,2629,2786,1193
"2021","West Berkshire","E06000037",161448,141996,300,628,1189,1162,1252,2049,5144,1553,2430,2685,1060
"2021","Reading","E06000038",174226,115894,202,691,1838,1548,1854,4552,15701,5692,8749,11819,5686
"2021","Slough","E06000039",158501,88806,146,820,4353,4183,3432,7360,23761,5858,7636,8522,3624
